dax     ; dax_names         ; watchlist ; wl_names ; planspiel_alle ; ps_alle_names                           ; medical                 ; med_names
NA      ; NA                ; NA        ; NA       ; ASG.F          ; Generali Ass [+]                        ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; GHH.DE         ; Geox                                    ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; GS7.DE         ; GlaxoSmithKline [+]                     ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; GGQ1.De        ; Google Inc. A                           ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; OZT.F          ; Grifols                                 ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; HHFA.De        ; Hamburger Hafen und Logistik            ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; HNR1.De        ; Hannover Rück.                          ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; HEI.DE         ; HeidelbergCement                        ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; HEN3.De        ; Henkel Vz. [+]                          ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; HWP.DE         ; Hewlett-Packard [+]                     ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; BOSS.De        ; Hugo Boss                               ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; IBE1.De        ; Iberdrola                               ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; IBM.DE         ; IBM [+]                                 ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; MRT.F          ; Indesit Company                         ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; IXD1.F         ; Inditex                                 ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; IFX.DE         ; Infineon Technologies                   ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; INL.DE         ; Intel [+]                               ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; IES.DE         ; Intesa Sanpaolo [+]                     ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; SDF.DE         ; K+S                                     ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; KU2.DE         ; KUKA                                    ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; CIL.DE         ; Lafarge [+]                             ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; LXS.DE         ; Lanxess                                 ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; LIN.DE         ; Linde                                   ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; LOR.DE         ; L'Oréal [+]                             ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; LHA.De         ; Lufthansa v.N.A.                        ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; MOH.DE         ; LVMH Moët. Henn.L.Vuitton               ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; MAN.DE         ; MAN SE St.                              ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; MDO.DE         ; McDonald's                              ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; MDS.DE         ; Mediaset S.p.A.                         ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; MRK.DE         ; Merck                                   ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; MEO.DE         ; Metro                                   ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; MCH.DE         ; Michelin                                ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; MSF.DE         ; Microsoft                               ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; MLP.DE         ; MLP                                     ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; MOV.F          ; Moncler                                 ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; MTX.DE         ; MTU Aero Engines                        ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; MUV2.F         ; Münchener Rück [+]                      ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; NESR.De        ; Nestlé S.A.                             ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; NKE.DE         ; Nike Inc. CI B [+]                      ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; NOAA.De        ; Nokia [+]                               ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; NDX1.De        ; Nordex                                  ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; NOTA.De        ; Novartis [+]                            ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; OMV.DE         ; OMV                                     ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; FTE.DE         ; Orange                                  ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; OSR.DE         ; Osram Licht                             ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; MAT1.F         ; Panasonic Corp.                         ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; PFE.DE         ; Pfizer                                  ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; PHI1.De        ; Philips Electr. [+]                     ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; PIL2.De        ; Pirelli & C                             ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; PAH3.De        ; Porsche Automobil Holding VZO           ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; PRG.F          ; Procter & Gamble                        ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; PSM.DE         ; ProSiebenSat.1 Media                    ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; AEU.F          ; Prysmian                                ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; RNL.DE         ; Renault                                 ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; REJ.F          ; Reply S.p.A.                            ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; REP.DE         ; Repsol YPF                              ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; RHKJF          ; Rhön-Klinikum                           ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; RIOA.De        ; Rio Tinto                               ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; R6C.DE         ; Royal Dutch Shell                       ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; RWE.DE         ; RWE                                     ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; VHM.F          ; Sacyr                                   ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; GOB.F          ; Saint-Gobain                            ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; SFER.Mi        ; Salvatore Ferragamo                     ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; SZG.DE         ; Salzgitter                              ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; SNW.DE         ; Sanofi-Aventis [+]                      ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; SAP.DE         ; SAP [+]                                 ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; SND.DE         ; Schneider Electric [+]                  ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; SES.F          ; SES Global                              ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; SIE.DE         ; Siemens NA                              ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; SIX2.F         ; Sixt                                    ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; SNM.F          ; Snam Rete Gas                           ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; SOW.DE         ; Software AG                             ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; SONA.De        ; Sony [+]                                ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; SAZ.DE         ; STADA Arzneimittel                      ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; SRB.DE         ; Starbucks Corp.                         ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; SZU.DE         ; Südzucker                               ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; O2D.F          ; Telefónica [+]                          ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; TA1.DE         ; Telekom Austria                         ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; TKA.DE         ; ThyssenKrupp                            ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; TOTA.De        ; TOTAL                                   ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; TOM.DE         ; Toyota                                  ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; TUI1.De        ; TUI                                     ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; BPD.F          ; Ubi Banca                               ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; UEN.F          ; Ubisoft Entertain                       ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; UBRA.De        ; UBS                                     ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; CRIH.De        ; UniCredit S.p.A.                        ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; UNIN.De        ; Unilever                                ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; UTDI.De        ; United Internet                         ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; VVD.DE         ; Veolia Environnement                    ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; SQU.F          ; Vinci S.A.                              ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; VVU.DE         ; Vivendi S.A. [+]                        ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; VODI.De        ; Vodafone                                ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; VAS.DE         ; voestalpine                             ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; VOW.DE         ; Volkswagen Vz. [+]                      ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; WCH.DE         ; Wacker Chemie                           ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; WDP.DE         ; Walt Disney                             ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; WIN.DE         ; Wincor Nixdorf                          ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; WDI.DE         ; Wirecard                                ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; ACOA.F         ; Atlas Copco A [+]                       ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; ELX.F          ; Electrolux, AB ser.B                    ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; ERCB.De        ; Ericsson B                              ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; HMSB.De        ; Hennes & Mauritz [+]                    ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; MO7.F          ; Modern Times Group B                    ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; FRYA.F         ; Swedbank                                ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; VOL1.F         ; Volvo                                   ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; NA             ; 3,25% Bundesrep. Deutschland 11/21      ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; NA             ; 3,5% Volkswagen 09/15                   ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; NA             ; 4,125 EIB Europ. Invest. Bank 07/24     ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; NA             ; DekaFonds TF                            ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; NA             ; Deka-Liquidität: EURO TF                ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; NA             ; Deka-UmweltInvest TF                    ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; NA             ; AriDeka TF                              ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; NA             ; Deka-Deutschland Balance TF             ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; NA             ; Deka-GlobalChampions TF                 ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; NA             ; Amazon.com Bonus-Zertifikat (CIT)       ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; NA             ; BASF Discount-Zertifikat (HSBC)         ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; NA             ; Bovespa Index-Zertifikat (DBK)          ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; NA             ; Brent Crud Quanto-Zertifikat (ABN)      ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; NA             ; DAX Index-Zertifikat (DBK)              ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; NA             ; DAX Reverse-Index-Zertifikat (DZ)       ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; NA             ; EuroStoxx50 (DBC)                       ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; NA             ; Gold Quanto-Zertifikat (ABN)            ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; NA             ; Kupfer Partizip.-Zertifikat (RBS)       ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; NA             ; MDAX Index-Zertifikat (BLB)             ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; NA             ; NASDAQ 100 Index-Zertifikat (DBK)       ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; NA             ; Nickel Index-Zertifikat (RBS)           ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; NA             ; Palladium Quanto-Zertifikat (ABN)       ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; NA             ; Rare Metals Index-Zertifikat (RBS)      ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; NA             ; S&P 500 Index-Zertifikat (COM)          ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; NA             ; Silber Quanto-Zertifikat (ABN)          ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; NA             ; Südeur.-Index Basket-Zertifikat (DB)    ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; NA             ; TECDAX Index-Zertifikat (DBK)           ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; NA             ; World Alternative Energy Index (SGE)    ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; NA             ; World Uranium-Partizip-Zertifikat (SOG) ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; NA             ; World Water Index-Zertifkat (SGE)       ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; NA             ; Zucker Partizip.-Zertifikat (RBS)       ; NA                      ; NA
